Country,Year,Yearly Average Temperature,Population
South Africa,2009,17.886,51170779
United States,2009,9.137083333333331,306771529
Australia,2010,22.078166666666664,22031750
Brazil,2010,25.812416666666667,196353492
Germany,2010,8.009,81776930
India,2010,25.050833333333333,1240613620
South Africa,2010,18.302666666666667,51784921
United States,2010,9.505583333333334,309327143
Australia,2011,21.767,22340024
Brazil,2011,25.428916666666662,198185302
Germany,2011,9.819583333333334,80274983
India,2011,24.41558333333333,1257621191
South Africa,2011,17.552416666666666,52443325
United States,2011,9.549916666666666,311583481
Australia,2012,22.0245,22733465
Brazil,2012,25.71708333333333,199977707
Germany,2012,9.227166666666667,80425823
India,2012,24.640833333333333,1274487215
South Africa,2012,17.84691666666667,53145033
United States,2012,10.261083333333334,313877662
Australia,2013,22.142875,23128129
Brazil,2013,25.348125,201721767
Germany,2013,9.23525,80645605
India,2013,25.41325,1291132063
South Africa,2013,17.325375,53873616
United States,2013,11.297111111111112,316059947
